Descriptor,Family,Model,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
hirsh_qa_boltz,Linear/Regularized,Linear Regression,0.2418481568853854,0.822245084651694,1.0372122575216693,6889,10
hirsh_qa_boltz,Linear/Regularized,RidgeCV,0.2418715575881789,0.8223240028133233,1.0371962503832028,6889,10
hirsh_qa_boltz,Linear/Regularized,LassoCV,0.21909349916864962,0.830260538915528,1.0526622822145812,6889,10
hirsh_qa_boltz,Linear/Regularized,ElasticNetCV,0.21413992408424443,0.8331673201772207,1.0559957148951005,6889,10
hirsh_qa_boltz,Linear/Regularized,BayesianRidge,0.24182168096644285,0.8226324097710525,1.037230367949127,6889,10
hirsh_qa_boltz,Kernel/Neighbors,LinearSVR,0.2102172948232428,0.8103853621822644,1.0586279414322461,6889,10
hirsh_qa_boltz,Kernel/Neighbors,SVR_RBF,0.7557964257652448,0.4134568297961341,0.5886613892208276,6889,10
hirsh_qa_boltz,Kernel/Neighbors,SVR_Poly3,0.33920209129097667,0.75960885690598,0.9683310833398893,6889,10
hirsh_qa_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.7543536777023289,0.4294270262169323,0.5903977261639889,6889,10
hirsh_qa_boltz,Kernel/Neighbors,"kNN(k=5,dist)",0.7309306262029464,0.40593537964742604,0.6179049537376794,6889,10
hirsh_qa_boltz,Tree Ensembles,RandomForest,0.820747703669771,0.2994908715042928,0.504338249748479,6889,10
hirsh_qa_boltz,Tree Ensembles,GradientBoosting,0.8009545997759797,0.3416587013782193,0.5314539213828293,6889,10
hirsh_qa_boltz,Tree Ensembles,DecisionTree,0.7556402828811901,0.34841045805947596,0.5888495531317207,6889,10
hirsh_qa_boltz,Tree Ensembles,ExtraTrees,0.8106774778696141,0.3322526922636837,0.5183113076868375,6889,10
hirsh_qa_boltz,Tree Ensembles,HistGradientBoosting,0.7887694590989629,0.32006109978191305,0.5474795461116648,6889,10
hirsh_qa_boltz,Neural,MLP(100),0.7831591743012758,0.39293919917095027,0.5547024309231905,6889,10
hirsh_qa_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,0.4300951138927499,0.5899375296909382,0.899271299862378,6889,10
hirsh_qh_boltz,Linear/Regularized,Linear Regression,0.23836611784360617,0.828759762939366,1.0395913826598777,6889,10
hirsh_qh_boltz,Linear/Regularized,RidgeCV,0.2384027040873974,0.8288508690602286,1.0395664131821303,6889,10
hirsh_qh_boltz,Linear/Regularized,LassoCV,0.23695840812203628,0.8305508341868325,1.0405516651149067,6889,10
hirsh_qh_boltz,Linear/Regularized,ElasticNetCV,0.23826040703013296,0.8312024800084409,1.0396635250896789,6889,10
